Topic 0
中国 : 0.004346
人 : 0.004169
最 : 0.003408
显示 : 0.003183
好 : 0.002872
元 : 0.002670
次 : 0.002639
想 : 0.002434
成 : 0.002266
新 : 0.002130
Topic 1
孩子 : 0.010890
岁 : 0.009905
名 : 0.008295
人 : 0.007224
儿童 : 0.006573
死亡 : 0.006033
13 : 0.004838
已 : 0.004352
贵州 : 0.004324
女 : 0.004298
Topic 2
人 : 0.008012
车 : 0.007551
名 : 0.004728
司机 : 0.004124
两 : 0.003736
岁 : 0.003699
辆 : 0.003685
中国 : 0.003612
前 : 0.003403
车辆 : 0.003297
Topic 3
人 : 0.006264
今天 : 0.004928
位置 : 0.004579
高考 : 0.004520
显示 : 0.003571
2015 : 0.003247
大学 : 0.003219
岁 : 0.003207
知道 : 0.003188
牺牲 : 0.003181
Topic 4
人 : 0.008525
好 : 0.004830
最 : 0.004394
只 : 0.003779
高 : 0.003725
小 : 0.003418
中国 : 0.003167
笑 : 0.003105
想 : 0.003077
世界 : 0.002916
Topic 5
微博 : 0.012434
转发 : 0.011233
关注 : 0.007621
好 : 0.006239
人 : 0.005423
送 : 0.005260
机会 : 0.005048
获得 : 0.004492
元 : 0.004331
天 : 0.003577
Topic 6
人 : 0.005358
中国 : 0.004413
名 : 0.003460
表示 : 0.003423
称 : 0.003141
发生 : 0.003080
两 : 0.002982
今天 : 0.002938
案 : 0.002885
李 : 0.002799
Topic 7
人 : 0.006725
中国 : 0.003729
元 : 0.003306
已 : 0.003292
岁 : 0.002871
好 : 0.002794
两 : 0.002721
发现 : 0.002721
称 : 0.002690
钱 : 0.002607
Topic 8
人 : 0.009513
最 : 0.006276
好 : 0.005735
美 : 0.005551
美国 : 0.004133
小 : 0.003756
中国 : 0.003737
只 : 0.003637
做 : 0.003470
拍 : 0.003436
Topic 9
人 : 0.011491
已 : 0.004496
东方 : 0.004027
中国 : 0.003822
今天 : 0.003804
星 : 0.003752
点 : 0.003703
现场 : 0.003480
韩国 : 0.003438
沉船 : 0.003438
